,CarID,Name,Amount,Region,use_type,Mileage
2307,/93hJOagQIcVQEVvzb8RSqnAG,Mercedes-Benz C180 2001 Silver,"₦ 1,470,000","Kaduna State, Kaduna / Kaduna State",Nigerian Used,99999 km
2308,/wVPTZsXn007cKHhuYu9nawfL,Toyota Camry 2.4 LE 2008 Silver,"₦ 3,432,000","Imo State, Owerri",Nigerian Used,236241 km
2309,/BYCcH9yHemF54hAW53GyPQ9N,New GAC GA4 2023 Silver,"₦ 22,116,000","Lagos State, Ilupeju",Brand New,...
2310,/yv43teIlhe24kGy6lez0IEPB,Lexus ES 2005 Black,"₦ 3,120,000","Ondo State, Akure",Nigerian Used,184979 km
2311,/tA29sKntxHQMyLcFc5fiEAwM,Toyota Matrix 2008 Black,"₦ 2,730,000","Oyo State, Ibadan",Nigerian Used,126661 km
2312,/68AdUn01TPwc4hVAN7LA3wnv,Audi A6 2006 Gray,"₦ 2,520,000","Lagos State, Ogba",Nigerian Used,280820 km
2313,/mPnoZJETUw2pQi5Phxrb4AE7,Honda Accord Crosstour 2010 White,"₦ 3,255,000","Lagos State, Ogba",Nigerian Used,145720 km
2314,/ugVzkvnPwEnHxapRemwpxyt9,Mercedes-Benz C280 2007 White,"₦ 1,260,000","Kaduna State, Kaduna / Kaduna State",Nigerian Used,232150 km
2315,/raiDalGQ6QXjLbDcbRfoKN1P,Toyota Fortuner 2014 Beige,"₦ 11,550,000","Lagos State, Ikorodu",Nigerian Used,186226 km
2316,/wMcoESG5LYzNfHJwYizi9mNu,Toyota Camry 2002 Silver,"₦ 1,872,000","Abuja (FCT), Gwarinpa",Nigerian Used,190131 km
2317,/1mY0ETmWc3VcSAjuBNdCYBDM,Lexus RX 350 2007 Silver,"₦ 3,885,000","Kwara State, Ilorin East",Nigerian Used,137585 km
2318,/I1ZNM4E91PGiJh09ewBPeYK,Jeep Compass 2007 Black,"₦ 2,520,000","Lagos State, Ifako-Ijaiye",Nigerian Used,101780 km
2319,/b3GNWtWR1qZTaPOPo7S220XP,Mercedes-Benz C-Class 2005 Silver,"₦ 2,835,000","Ogun State, Ado-Odo/Ota",Nigerian Used,248540 km
2320,/pQAwLfSSJrNf6I3BDwk67xLk,Toyota Camry 2010 Red,"₦ 2,835,000","Lagos State, Ifako-Ijaiye",Nigerian Used,161907 km
2321,/oBNOjLgrxGxCDSpmCdER7tG6,Mercedes-Benz C300 2016 Black,"₦ 8,925,000","Lagos State, Isolo",Nigerian Used,87870 km
2322,/85mhDlgsHtcyd15oOs4XO4v7,Lexus ES 2007 Silver,"₦ 5,250,000","Lagos State, Apapa",Foreign Used,80875 km
2323,/3VbQLGXn2S9Ik08KD0Q0tcKp,Toyota Camry 2007 Gray,"₦ 3,328,000","Ogun State, Ado-Odo/Ota",Nigerian Used,156571 km
2324,/ka2M8BASxROadd6nMiy6TPX2,Mercedes-Benz C300 2009 Silver,"₦ 4,586,400","Abuja (FCT), Kubwa",Nigerian Used,136025 km
2325,/A4YzbxzDXxpV6e5uhNP6m3sw,Nissan Murano SE 2004 Black,"₦ 1,575,000","Lagos State, Ikeja",Nigerian Used,258733 km
2326,/hfqcyFg0eQNhPrRkre2sP1zu,Toyota Matrix 2003 Black,"₦ 2,362,500","Lagos State, Amuwo-Odofin",Nigerian Used,383959 km
2327,/gc85LulerlDJ0HeM6Zg7lYof,Lexus ES 2002 Silver,"₦ 2,912,000","Oyo State, Ibadan",Nigerian Used,231522 km
2328,/yyaZN2hqTNlesVj1Fh3T2WMF,Toyota HiAce 2005 White,"₦ 8,925,000","Lagos State, Ikeja",Nigerian Used,153320 km
2329,/sieBFpYaFuLHpsCqfEoWIjre,Mazda 6 2003 Silver,"₦ 1,312,500","Abuja (FCT), Wuse",Nigerian Used,385377 km
2330,/8T45W32fhN2cZzPrwjTHOAX9,Ford Explorer 2016 Silver,"₦ 13,000,000","Lagos State, Yaba",Nigerian Used,72339 km
2331,/p47mIfe0A65DbptgVQLhKfXz,Hyundai Santa Fe 2007 Gray,"₦ 3,952,000","Abuja (FCT), Mararaba",Nigerian Used,307758 km
2332,/dClwvZrJaDdL2xu2dgl3ZSGP,Toyota Land Cruiser 2013 Black,"₦ 36,400,000","Rivers State, Port-Harcourt",Nigerian Used,86925 km
2333,/wTdtJxCZ5tUA21tBf77twYCP,Volkswagen Touran 1.6 FSI Highline 2004 Gray,"₦ 2,782,500","Lagos State, Isolo",Foreign Used,285991 km
2334,/zMi3unpyQdeb8kOJyDrPyzAn,Lexus LS 430 2005 Silver,"₦ 4,200,000","Kaduna State, Kaduna / Kaduna State",Nigerian Used,350923 km
2335,/oCaXlzV8zUHJxg94IWVxcI3Y,Mercedes-Benz C320 1998 Silver,"₦ 1,165,500","Kaduna State, Kaduna / Kaduna State",Nigerian Used,160932 km
2336,/C06JbohhbWPAAmmdQcA37ITC,Mercedes-Benz GLK-Class 350 4MATIC 2011 Red,"₦ 7,100,000","Lagos State, Magodo",Nigerian Used,105333 km
2337,/roBdCm7Klwa1ETrMKAGo3rEu,Ford Edge 2013 Gray,"₦ 5,720,000","Abuja (FCT), Wuse",Nigerian Used,59534 km
2338,/xF8f2NuLH49oYJD8rj4gqvMA,Volkswagen Passat 2007 Black,"₦ 2,080,000","Oyo State, Ibadan",Nigerian Used,134588 km
2339,/uZnsTDsudrq0nkVU3kPaJJ9H,Chrysler 200 2015 White,"₦ 8,715,000","Abuja (FCT), Jabi",Foreign Used,203737 km
2340,/17ztW5mQ03tFwMEkpmObYsWt,Infiniti FX 35 AWD 2005 Blue,"₦ 2,100,000","Akwa Ibom State, Uyo",Nigerian Used,175334 km
2341,/r5cRHD6hCbpvWQhXHRYDyY6A,Peugeot 301 2015 Gray,"₦ 4,200,000","Lagos State, Victoria Island",Nigerian Used,1069870 km
2342,/CzT1tSGfTMGwljOVFKU6EaVh,Toyota RAV4 2008 Red,"₦ 3,990,000","Oyo State, Ibadan",Foreign Used,127064 km
2343,/uRjxbGUfl9tO4uYnw0CVIG2I,Toyota Camry 2004 Gray,"₦ 2,100,000","Lagos State, Ojodu",Nigerian Used,293604 km
2344,/9QtD3tbrgtfcrLPxEXQ1SKNi,Mercedes-Benz M Class 2006 Silver,"₦ 3,150,000","Akwa Ibom State, Uyo",Nigerian Used,211761 km
2345,/gdUycLiyqvCbUM9VIYKWEeY6,Honda Crosstour 2013 Black,"₦ 5,040,000","Lagos State, Apapa",Nigerian Used,93743 km
2346,/BhTxQvQY8CTHIpqYTBmOKnee,Peugeot 307 2008 Black,"₦ 1,281,000","Abuja (FCT), Garki 2",Nigerian Used,348446 km
2347,/qix10UzKr6VtQTHAMzyn4vEk,Mercedes-Benz C180 2001 Blue,"₦ 1,785,000","Abuja (FCT), Mararaba",Nigerian Used,385180 km
2348,/fGYgDBcKW8kHfvljHrcZku2A,Toyota Camry 2007 Black,"₦ 2,835,000","Abuja (FCT), Garki 2",Nigerian Used,262422 km
2349,/12z2D3wmvvZNL0ffeqkCMO5P,Toyota Camry 2011 Gray,"₦ 3,900,000","Oyo State, Ibadan",Nigerian Used,141081 km
2350,/p4whXvGy4R6eZ4CqEMsxH6np,Nissan Sentra 2006 Gray,"₦ 1,365,000","Lagos State, Yaba",Nigerian Used,480753 km
2351,/CiZXOIPuDgWQWoGYHSfW6uex,Mercedes-Benz CLA-Class 2016 White,"₦ 8,726,550","Abuja (FCT), Katampe",Nigerian Used,109877 km
2352,/hf76C74S9x2FV5HoOhnNMy0D,Toyota Camry 2012 Black,"₦ 6,720,000","Oyo State, Ibadan",Foreign Used,177764 km
2353,/ksAxVdvYFNrKtsmk2j5nUH2N,Toyota Camry 2012 Gray,"₦ 6,968,000","Akwa Ibom State, Uyo",Foreign Used,140337 km
2354,/3Kh88nmoycdecJRRiywKDCjk,Lexus GX 2012 White,"₦ 26,000,000","Abuja (FCT), Lugbe District",Nigerian Used,112411 km
2355,/BnYOB8USpmcXAJpGf8gda5JK,Isuzu Trooper 2000 Black,"₦ 1,890,000","Oyo State, Ibadan",Nigerian Used,281380 km
2356,/tIiEjbqEvRdsB8GXdwDCObfh,Toyota Venza 2009 Silver,"₦ 11,440,000","Lagos State, Ifako-Ijaiye",Foreign Used,190721 km
2357,/hfmfBiVuMujwJoYzrfSa7ShR,Suzuki Every Wagon 2000 Gold,"₦ 945,000","Ogun State, Ado-Odo/Ota",Nigerian Used,200000 km
2358,/CfgayPNw6TXa3Bvls3Qh8hOc,Toyota HiAce 2013 White,"₦ 14,490,000","Lagos State, Amuwo-Odofin",Foreign Used,120659 km
2359,/hGAuNL3Vb4QUkX37WVpReJxB,Toyota RAV4 2017 Gray,"₦ 9,975,000","Lagos State, Ogba",Nigerian Used,79618 km
2360,/34GtJr7wsZyydqZJHVySoow8,Honda Accord 2005 White,"₦ 1,370,000","Lagos State, Alimosho",Nigerian Used,359460 km
2361,/3KBwJuKCxNHo3lDGcQJOVF3g,Toyota Corolla Verso 1.6 2002 Gray,"₦ 2,100,000","Ondo State, Akure",Nigerian Used,239173 km
2362,/dLX0ZUwxBJW7sJk0kWm7KxyA,Lexus ES 2004 Blue,"₦ 2,808,000","Abuja (FCT), Wuse",Nigerian Used,147779 km
2363,/leMa65xRT6MP5bEzgoQV3YQq,Opel Vectra 2005 Black,"₦ 3,675,000","Lagos State, Ikeja",Foreign Used,191351 km
2364,/4alM1MRxW8NyBqenZxiFNwKd,Lexus ES 2010 Black,"₦ 4,725,000","Lagos State, Amuwo-Odofin",Nigerian Used,183936 km
2365,/2RArg2Lox5hu41ePddnuLtNI,Ford Explorer 2005 Blue,"₦ 4,200,000","Lagos State, Ojodu",Foreign Used,149489 km
2366,/myJyqoK1MEeSOKZop9MKVgot,Toyota Corolla 2005 Green,"₦ 2,100,000","Lagos State, Alimosho",Foreign Used,192550 km
